title,time,link
"두나무, 11월 블록체인 컨퍼런스 'UDC' 개최",,https://n.news.naver.com/mnews/article/448/0000466870?sid=101
"경찰, ‘비자금 조성 의혹' 김상철 한글과컴퓨터 회장 영장 신청",,https://n.news.naver.com/mnews/article/469/0000811749?sid=102
"최근 비트코인 가격 떨어진 이유가, 이것 때문?",,https://n.news.naver.com/mnews/article/023/0003845669?sid=101
"경찰, `비자금 의혹` 김상철 한컴 회장에 구속영장 신청",,https://n.news.naver.com/mnews/article/029/0002887027?sid=105
"경찰, 김상철 회장 구속영장 신청…한컴 ""경영 영향 없어""",,https://n.news.naver.com/mnews/article/018/0005787173?sid=105
"[코인뉴스] 갤럭시 토큰, 업비트 상장에 '들썩'...최대 47% ↑",,https://n.news.naver.com/mnews/article/119/0002849787?sid=101
[매경데스크] 궁극의 통제사회,,https://n.news.naver.com/mnews/article/009/0005333198?sid=110
"""보안인재 양성 나선 업비트, 가상자산거래소 관심도 1위""… DNR 리서치 조사",,https://n.news.naver.com/mnews/article/138/0002177432?sid=101
"경찰, 김상철 한컴 회장 구속영장 신청…한컴 ""회사와 경영진은 사업 관여한 바 없어""",,https://n.news.naver.com/mnews/article/092/0002338047?sid=105
"김상철 회장 구속영장에 한컴 ""심려 끼쳐 송구…경영진 관여한 바 없어""",,https://n.news.naver.com/mnews/article/277/0005444509?sid=105
혐의 입증 끝났나…경찰 '비자금 의혹' 김상철 한컴 회장 구속영장 신청,,https://n.news.naver.com/mnews/article/015/0005008599?sid=102
"성신여대, 2024 한국디지털포렌식학회 하계학술대회 성황리 개최",,https://n.news.naver.com/mnews/article/029/0002887003?sid=102
"두나무, 11월 14일 서울 신라호텔서 ‘업비트 D 컨퍼런스’ 개최",,https://n.news.naver.com/mnews/article/243/0000061842?sid=101
"성신여대, 2024 한국디지털포렌식학회 하계학술대회 개최",,https://n.news.naver.com/mnews/article/018/0005787118?sid=102
"성신여대, 한국디지털포렌식학회 하계학술대회",,https://n.news.naver.com/mnews/article/025/0003372764?sid=102
"코빗 리서치센터, ‘비트코인-이더리움의 탈중앙화 경향 및 FIT21 법안 분석' 보고서 발간",,https://n.news.naver.com/mnews/article/092/0002338026?sid=105
美·日·獨 악재에 韓 가상자산법 시행 ‘초읽기’…움츠러든 암호화폐,,https://n.news.naver.com/mnews/article/025/0003372759?sid=101
"두나무, 업비트 D 컨퍼런스 11월 14일 개막",,https://n.news.naver.com/mnews/article/092/0002338024?sid=105
"두나무, UDC 2024 신라호텔서 11월 14일 개최",,https://n.news.naver.com/mnews/article/241/0003364506?sid=101
"경찰, '비자금 조성의혹' 한컴 김상철 회장 사전구속영장 신청",,https://n.news.naver.com/mnews/article/421/0007658047?sid=102
"이현우 쟁글 공동대표 “웹3 산업, 성숙화 단계 진입”",,https://n.news.naver.com/mnews/article/243/0000061834?sid=101
"경찰, ‘비자금 조성 의혹’ 한글과컴퓨터 김상철 회장 구속영장 신청",,https://n.news.naver.com/mnews/article/056/0011759708?sid=102
"갤럭시 토큰, 업비트 상장 첫날 최대 47% '쑥'[특징코인]",,https://n.news.naver.com/mnews/article/421/0007657895?sid=101
"업비트 D 컨퍼런스, 11월 14일 서울 신라호텔서 개최",,https://n.news.naver.com/mnews/article/003/0012661468?sid=101
"한컴 회장 차남, 가상화폐로 '90억원대 비자금 조성'…징역 3년",,https://n.news.naver.com/mnews/article/586/0000082558?sid=101
"자칭 '암호화폐 대통령' 트럼프, 비트코인 2024 콘퍼런스 연설",,https://n.news.naver.com/mnews/article/421/0007657747?sid=104
"경찰, '비자금 의혹' 한글과컴퓨터 김상철 회장 구속영장 신청",,https://n.news.naver.com/mnews/article/055/0001171138?sid=102
"[단독]‘테라 사태’ 권도형 아내, 추징보전 ‘부동산지분’ 돌려받는다…국가 상대 승소",,https://n.news.naver.com/mnews/article/016/0002334379?sid=102
"트럼프, 비트코인 행사서 연설한다···연일 저점 높이는 비트코인 [매일코인]",,https://n.news.naver.com/mnews/article/009/0005333003?sid=101
'가상화폐로 비자금 조성' 사적 유용 혐의도... 한컴 회장 차남 징역형,,https://n.news.naver.com/mnews/article/469/0000811661?sid=102
"경찰, '비자금 의혹' 한글과컴퓨터 김상철 회장 구속영장 신청",,https://n.news.naver.com/mnews/article/001/0014801500?sid=102
"코빗, ‘비트코인·이더리움 탈중앙화 경향' 보고서 발간",,https://n.news.naver.com/mnews/article/082/0001278890?sid=101
"두나무, 11월 서울 신라호텔서 ‘업비트 D 컨퍼런스’ 개최",,https://n.news.naver.com/mnews/article/082/0001278889?sid=101
"성신여대, 한국디지털포렌식학회 하계학술대회 개최",,https://n.news.naver.com/mnews/article/421/0007657600?sid=102
'90억 원대 비자금 조성' 한컴 회장 차남 징역 3년…'법정구속',,https://n.news.naver.com/mnews/article/055/0001171131?sid=102
"두나무, 11월 블록체인 컨퍼런스 'UDC' 개최",,https://n.news.naver.com/mnews/article/015/0005008523?sid=101
"비트코인, 독일정부 매도 80% 소화 '시장우려 불식'",,https://n.news.naver.com/mnews/article/123/0002338046?sid=004
블록체인으로 용산 찾아온 루이비통 마케팅책임자가 한 말은,,https://n.news.naver.com/mnews/article/008/0005062517?sid=101
"가상화폐로 '96억 비자금' 한컴그룹 차남, 징역 3년",,https://n.news.naver.com/mnews/article/052/0002059697?sid=102
"비트코인, 매도압력 강화되며 다시 7300만원 노크 우려",,https://n.news.naver.com/mnews/article/123/0002338044?sid=004
"두나무, 11월 '업비트 D 컨퍼런스' 개최",,https://n.news.naver.com/mnews/article/277/0005444368?sid=101
"보라비트 거래소, ISMS 인증",,https://n.news.naver.com/mnews/article/029/0002886912?sid=101
‘가상화폐로 90억원대 비자금 조성’ 한컴 차남 ‘법정구속’,,https://n.news.naver.com/mnews/article/009/0005332947?sid=102
전 세계 가상자산 해킹 피해액 2조원… 고객 자산 보호 나선 거래소,,https://n.news.naver.com/mnews/article/366/0001003872?sid=101
"트럼프, 비트코인 컨퍼런스에서 연설한다 [코인브리핑]",,https://n.news.naver.com/mnews/article/014/0005212054?sid=101
"가상자산거래소 보라비트, ISMS 인증 완료",,https://n.news.naver.com/mnews/article/421/0007657265?sid=102
"보라비트 거래소, ISMS 인증 완료",,https://n.news.naver.com/mnews/article/014/0005212021?sid=105
가상화폐로 90억원대 비자금 조성…한컴 회장 차남 실형,,https://n.news.naver.com/mnews/article/422/0000670085?sid=102
"코빗, ‘비트코인·이더리움의 탈중앙화 경향' 보고서 발간",7시간 전,https://n.news.naver.com/mnews/article/015/0005008480?sid=101
"두나무, 오는 11월 서울 신라호텔서 ‘업비트 D 컨퍼런스’ 개최",7시간 전,https://n.news.naver.com/mnews/article/015/0005008481?sid=101
가상화폐로 90억대 비자금 조성… 한컴 회장 차남 징역 3년,7시간 전,https://n.news.naver.com/mnews/article/366/0001003828?sid=102
'가상화폐로 90억원대 비자금 조성' 한컴 회장 차남 징역 3년,7시간 전,https://n.news.naver.com/mnews/article/437/0000401080?sid=102
"두나무, 11월 ‘업비트 D 컨퍼런스 2024’ 개최",7시간 전,https://n.news.naver.com/mnews/article/016/0002334250?sid=105
'가상화폐로 90억원대 비자금 조성' 한컴 회장 차남 징역 3년(종합),8시간 전,https://n.news.naver.com/mnews/article/001/0014800819?sid=102
"두나무, 11월14일 신라호텔서 'UDC' 개최",8시간 전,https://n.news.naver.com/mnews/article/293/0000056193?sid=101
'96억 비자금 조성' 한컴 회장 차남 징역 3년 법정구속(종합),8시간 전,https://n.news.naver.com/mnews/article/003/0012660590?sid=102
'가상화폐로 90억대 비자금 조성' 한컴 회장 차남 징역 3년,8시간 전,https://n.news.naver.com/mnews/article/055/0001171066?sid=102
'가상화폐로 96억 비자금 조성' 한컴 회장 차남 징역 3년,8시간 전,https://n.news.naver.com/mnews/article/015/0005008450?sid=102
갑자기 가상화폐 손대더니…한컴 차남 징역 3년 “사회적 해악 커”,8시간 전,https://n.news.naver.com/mnews/article/081/0003464138?sid=102
"두나무, 11월 14일 서울서 ‘2024 업비트 D 컨퍼런스’ 개최",8시간 전,https://n.news.naver.com/mnews/article/088/0000891122?sid=101
'코인으로 90억원대 비자금' 한컴 회장 차남에 징역 3년…법정 구속,8시간 전,https://n.news.naver.com/mnews/article/277/0005444258?sid=102
"성신여대, 2024 한국디지털포렌식학회 성황리 개최",8시간 전,https://n.news.naver.com/mnews/article/003/0012660483?sid=102
‘가상화폐로 90억원대 비자금 조성’ 한컴 차남 징역 3년 법정구속,8시간 전,https://n.news.naver.com/mnews/article/025/0003372684?sid=102
"두나무, 11월 14일 '업비트 D 컨퍼런스' 개최",8시간 전,https://n.news.naver.com/mnews/article/030/0003222414?sid=101
‘코인으로 90억대 비자금 조성’ 혐의 김상철 한컴 회장 차남 ‘징역 3년’,8시간 전,https://n.news.naver.com/mnews/article/023/0003845570?sid=102
‘가상화폐로 90억대 비자금 조성’ 한컴 회장 차남 징역 3년·법정구속,8시간 전,https://n.news.naver.com/mnews/article/081/0003464131?sid=102
‘가상화폐로 90억대 비자금 조성’...한컴 회장 차남에 징역 3년,8시간 전,https://n.news.naver.com/mnews/article/666/0000046521?sid=102
